Hue,Saturation,Value,Label
105.0,245.0,134.0,lake_tiles
106.0,252.0,157.0,lake_tiles
105.0,253.0,159.0,lake_tiles
107.0,253.0,154.0,lake_tiles
107.0,253.0,152.0,lake_tiles
107.0,255.0,154.0,lake_tiles
106.0,255.0,165.0,lake_tiles
106.0,252.0,149.0,lake_tiles
106.0,254.0,170.0,lake_tiles
106.0,252.0,155.0,lake_tiles
105.0,246.0,139.0,lake_tiles
105.0,253.0,167.0,lake_tiles
105.0,254.0,170.0,lake_tiles
105.0,254.0,166.0,lake_tiles
106.0,255.0,164.0,lake_tiles
105.0,247.0,130.0,lake_tiles
106.0,253.0,132.0,lake_tiles
104.0,252.0,181.0,lake_tiles
105.0,254.0,180.0,lake_tiles
106.0,253.0,132.0,lake_tiles
107.0,254.0,171.0,lake_tiles
107.0,253.0,168.0,lake_tiles
108.0,253.0,148.0,lake_tiles
108.0,253.0,137.0,lake_tiles
108.0,244.0,109.0,lake_tiles
108.0,253.0,139.0,lake_tiles
108.0,241.0,117.0,lake_tiles
108.0,247.0,113.0,lake_tiles
108.0,251.0,136.0,lake_tiles
108.0,252.0,142.0,lake_tiles
108.0,252.0,142.0,lake_tiles
108.0,248.0,130.0,lake_tiles
108.0,254.0,156.0,lake_tiles
107.0,251.0,151.0,lake_tiles
108.0,253.0,161.0,lake_tiles
108.0,254.0,168.0,lake_tiles
108.0,255.0,170.0,lake_tiles
107.0,254.0,172.0,lake_tiles
108.0,251.0,144.0,lake_tiles
109.0,253.0,162.0,lake_tiles
108.0,245.0,130.0,lake_tiles
108.0,249.0,128.0,lake_tiles
109.0,253.0,162.0,lake_tiles
108.0,243.0,134.0,lake_tiles
109.0,253.0,124.0,lake_tiles
108.0,251.0,151.0,lake_tiles
109.0,253.0,162.0,lake_tiles
108.0,241.0,131.0,lake_tiles
108.0,248.0,132.0,lake_tiles
108.0,254.0,164.0,lake_tiles
108.0,244.0,133.0,lake_tiles
109.0,253.0,138.0,lake_tiles
108.0,244.0,133.0,lake_tiles
109.0,253.0,138.0,lake_tiles
24.0,132.0,44.0,mine_tiles
24.0,83.5,37.0,mine_tiles
23.0,85.0,41.0,mine_tiles
23.0,96.0,42.0,mine_tiles
24.0,108.0,64.0,mine_tiles
24.0,130.0,46.0,mine_tiles
24.0,85.0,38.0,mine_tiles
24.0,81.0,41.0,mine_tiles
24.0,88.0,39.0,mine_tiles
24.0,110.0,68.0,mine_tiles
24.0,67.0,42.0,mine_tiles
25.0,75.0,42.0,mine_tiles
24.0,93.0,32.0,mine_tiles
24.0,116.0,36.0,mine_tiles
24.0,106.0,36.0,mine_tiles
22.0,130.0,65.0,mine_tiles
21.0,133.0,67.0,mine_tiles
24.0,118.0,66.0,mine_tiles
24.0,67.0,41.0,mine_tiles
24.0,49.0,36.0,mine_tiles
23.0,75.0,35.0,mine_tiles
23.0,96.0,54.0,mine_tiles
23.0,64.0,31.0,mine_tiles
23.0,41.0,31.0,mine_tiles
23.0,43.0,29.0,mine_tiles
24.0,81.0,37.0,mine_tiles
22.0,39.0,28.0,mine_tiles
25.0,45.0,26.0,mine_tiles
22.0,39.0,28.0,mine_tiles
25.0,45.0,26.0,mine_tiles
43.0,157.0,44.0,none_tiles
42.0,149.0,44.0,none_tiles
26.0,70.0,115.0,swamp_tiles
23.0,131.0,103.0,swamp_tiles
23.0,126.0,88.0,swamp_tiles
23.0,126.0,104.0,swamp_tiles
23.0,161.0,114.0,swamp_tiles
25.0,109.0,119.0,swamp_tiles
23.0,112.0,130.0,swamp_tiles
26.0,72.0,123.0,swamp_tiles
23.0,129.0,113.0,swamp_tiles
23.0,131.0,97.0,swamp_tiles
23.0,129.0,104.0,swamp_tiles
23.0,160.0,122.0,swamp_tiles
26.0,110.0,128.0,swamp_tiles
22.0,142.0,109.0,swamp_tiles
23.0,114.0,138.0,swamp_tiles
23.0,151.0,107.0,swamp_tiles
22.0,151.0,116.0,swamp_tiles
26.0,102.0,123.0,swamp_tiles
24.0,124.0,112.0,swamp_tiles
24.0,106.0,115.0,swamp_tiles
24.0,86.0,129.0,swamp_tiles
25.0,128.0,76.0,swamp_tiles
24.0,130.0,97.0,swamp_tiles
23.0,152.0,81.0,swamp_tiles
23.0,149.0,103.0,swamp_tiles
